,card1,card1_card2,card_core,card_full,card_core_addr1,device_info,device_fingerprint,email_domain,addr1,uid
card1,1.0,0.9715425549864011,0.9563666420515574,0.9560485478031406,0.2564669115204775,0.013407863561131368,0.008476523836431,0.014316158957001378,0.027602086784271944,0.09157852861787923
card1_card2,0.9715425549864011,1.0,0.9837015415582376,0.9833527215576465,0.26070152578069367,0.013309782740088769,0.008587192797719113,0.014248987585245391,0.027487607018899667,0.09084961714672087
card_core,0.9563666420515574,0.9837015415582376,1.0,0.9996453722377618,0.2624453582424083,0.01329133714364039,0.008575724661489639,0.014205357422742955,0.02741098248152777,0.09077421356166257
card_full,0.9560485478031406,0.9833527215576465,0.9996453722377618,1.0,0.26244605507479407,0.01328881121077898,0.008576487142614156,0.014204707856569885,0.027412422451609485,0.09077972262177662
card_core_addr1,0.2564669115204775,0.26070152578069367,0.2624453582424083,0.26244605507479407,1.0,0.0076300899793974,0.010557452721320741,0.009395072036236596,0.03297213653996616,0.18550373221022037
device_info,0.013407863561131368,0.013309782740088769,0.01329133714364039,0.01328881121077898,0.0076300899793974,1.0,0.04895972513838519,0.021872526733650276,0.011508258264947594,0.01227137477555251
device_fingerprint,0.008476523836431,0.008587192797719113,0.008575724661489639,0.008576487142614156,0.010557452721320741,0.04895972513838519,1.0,0.006853539104746477,0.009452702904994753,0.018530758357174215
email_domain,0.014316158957001378,0.014248987585245391,0.014205357422742955,0.014204707856569885,0.009395072036236596,0.021872526733650276,0.006853539104746477,1.0,0.025092537581882245,0.011795733866324282
addr1,0.027602086784271944,0.027487607018899667,0.02741098248152777,0.027412422451609485,0.03297213653996616,0.011508258264947594,0.009452702904994753,0.025092537581882245,1.0,0.028203200137617908
uid,0.09157852861787923,0.09084961714672087,0.09077421356166257,0.09077972262177662,0.18550373221022037,0.01227137477555251,0.018530758357174215,0.011795733866324282,0.028203200137617908,1.0
