relation,entity,group_size,first_time,last_time,fraud_rate,lifespan_days
card1,7919,10147,95442,10437939,0.00847541145166059,119.70482638888889
card1,9500,9680,88258,10437922,0.034400826446280994,119.78777777777778
card1,15885,7543,87317,10436654,0.03831366830173671,119.78399305555556
card1,17188,7105,87650,10437855,0.029697396199859255,119.79403935185185
card1,15066,5459,87899,10434463,0.04066678878915552,119.75189814814814
card1,6019,5187,89169,10437093,0.040293040293040296,119.76763888888888
card1,12695,4772,86529,10435904,0.022212908633696564,119.78443287037037
card1,12544,4628,87285,10437010,0.02052722558340536,119.78848379629629
card1,2803,4237,86535,10435138,0.012036818503658248,119.77549768518519
card1,7585,3974,90946,10437228,0.0505787619526925,119.74863425925926
card1,10616,3779,90178,10436613,0.039693040486901296,119.75040509259259
card1,12839,3501,90608,10437466,0.017423593259068837,119.75530092592592
card1,3154,3456,89600,10437885,0.05439814814814815,119.77181712962962
card1,9633,3151,91188,10436484,0.1656616947000952,119.73722222222223
card1,2616,3128,88671,10430178,0.058184143222506396,119.69336805555555
card1,18132,2944,86499,10437175,0.013247282608695652,119.79949074074074
card1,16075,2739,88725,10437494,0.04636728733114275,119.77741898148147
card1,15497,2721,88394,10436697,0.011025358324145534,119.77202546296296
card1,11207,2716,93843,10433352,0.011413843888070692,119.67024305555556
card1,16132,2676,87275,10434430,0.01905829596412556,119.75873842592593
card1,2884,2612,89663,10437443,0.011485451761102604,119.76597222222222
card1,7508,2457,89466,10436677,0.02726902726902727,119.75938657407407
card1,10112,2412,86821,10437974,0.008291873963515755,119.80501157407407
card1,16659,2351,87532,10436728,0.020416843896214378,119.78236111111111
card1,12501,2133,100189,10436663,0.02344116268166901,119.63511574074074
card1_card2,7919|194.0,10133,95442,10437939,0.008487121286884437,119.70482638888889
card1_card2,9500|321.0,9651,88258,10437922,0.03440058025075122,119.78777777777778
card1_card2,15885|545.0,7536,87317,10436654,0.03834925690021231,119.78399305555556
card1_card2,17188|321.0,7087,87650,10437855,0.029772823479610553,119.79403935185185
card1_card2,15066|170.0,5444,87899,10434463,0.040778839088905214,119.75189814814814
card1_card2,6019|583.0,5183,89169,10437093,0.040324136600424464,119.76763888888888
card1_card2,12695|490.0,4768,86529,10435904,0.022231543624161073,119.78443287037037
card1_card2,12544|321.0,4619,87285,10437010,0.020567222342498376,119.78848379629629
card1_card2,2803|100.0,4231,86535,10435138,0.012053887969747105,119.77549768518519
card1_card2,7585|553.0,3968,90946,10437228,0.05065524193548387,119.74863425925926
card1_card2,10616|583.0,3768,90178,10436613,0.03954352441613588,119.75040509259259
card1_card2,12839|321.0,3494,90608,10437466,0.017172295363480253,119.75530092592592
card1_card2,3154|408.0,3453,89600,10437885,0.05444540978858963,119.77181712962962
card1_card2,18132|567.0,2937,86499,10437175,0.013278855975485188,119.79949074074074
card1_card2,16075|514.0,2734,88725,10437494,0.04645208485735187,119.77741898148147
card1_card2,15497|490.0,2720,88394,10436697,0.011029411764705883,119.77202546296296
card1_card2,11207|361.0,2711,93843,10433352,0.011434894872740686,119.67024305555556
card1_card2,16132|111.0,2670,87275,10434430,0.019101123595505618,119.75873842592593
card1_card2,2884|490.0,2608,89663,10437443,0.011503067484662576,119.76597222222222
card1_card2,7508|321.0,2443,89466,10436677,0.02742529676627098,119.75938657407407
card1_card2,10112|360.0,2403,86821,10437974,0.007906783187682065,119.80501157407407
card1_card2,16659|170.0,2347,87532,10436728,0.020451640391989774,119.78236111111111
card1_card2,12501|490.0,2129,100189,10436663,0.023485204321277594,119.63511574074074
card1_card2,10057|225.0,2102,89916,10437829,0.051855375832540435,119.76751157407408
card1_card2,6530|206.0,2084,91129,10437890,0.003838771593090211,119.75417824074074
card_core,9500|321.0|150.0|226.0,9651,88258,10437922,0.03440058025075122,119.78777777777778
card_core,15885|545.0|185.0|138.0,7536,87317,10436654,0.03834925690021231,119.78399305555556
card_core,17188|321.0|150.0|226.0,7087,87650,10437855,0.029772823479610553,119.79403935185185
card_core,7919|194.0|150.0|202.0,6047,95442,6544970,0.008433934182239127,74.64731481481482
card_core,15066|170.0|150.0|102.0,5444,87899,10434463,0.040778839088905214,119.75189814814814
card_core,6019|583.0|150.0|226.0,5183,89169,10437093,0.040324136600424464,119.76763888888888
card_core,12695|490.0|150.0|226.0,4768,86529,10435904,0.022231543624161073,119.78443287037037
card_core,12544|321.0|150.0|226.0,4619,87285,10437010,0.020567222342498376,119.78848379629629
card_core,2803|100.0|150.0|226.0,4231,86535,10435138,0.012053887969747105,119.77549768518519
card_core,7919|194.0|150.0|166.0,4086,143536,10437939,0.008565834557023984,119.14818287037038
card_core,7585|553.0|150.0|226.0,3968,90946,10437228,0.05065524193548387,119.74863425925926
card_core,10616|583.0|150.0|226.0,3768,90178,10436613,0.03954352441613588,119.75040509259259
card_core,12839|321.0|150.0|226.0,3494,90608,10437466,0.017172295363480253,119.75530092592592
card_core,3154|408.0|185.0|224.0,3453,89600,10437885,0.05444540978858963,119.77181712962962
card_core,18132|567.0|150.0|117.0,2937,86499,10437175,0.013278855975485188,119.79949074074074
card_core,16075|514.0|150.0|102.0,2734,88725,10437494,0.04645208485735187,119.77741898148147
card_core,15497|490.0|150.0|226.0,2720,88394,10436697,0.011029411764705883,119.77202546296296
card_core,11207|361.0|150.0|226.0,2711,93843,10433352,0.011434894872740686,119.67024305555556
card_core,16132|111.0|150.0|226.0,2670,87275,10434430,0.019101123595505618,119.75873842592593
card_core,2884|490.0|150.0|226.0,2608,89663,10437443,0.011503067484662576,119.76597222222222
card_core,7508|321.0|150.0|226.0,2443,89466,10436677,0.02742529676627098,119.75938657407407
card_core,10112|360.0|150.0|166.0,2403,86821,10437974,0.007906783187682065,119.80501157407407
card_core,16659|170.0|150.0|226.0,2347,87532,10436728,0.020451640391989774,119.78236111111111
card_core,12501|490.0|150.0|226.0,2129,100189,10436663,0.023485204321277594,119.63511574074074
card_core,10057|225.0|150.0|224.0,2102,89916,10437829,0.051855375832540435,119.76751157407408
card_full,9500|321.0|150.0|visa|226.0|debit,9651,88258,10437922,0.03440058025075122,119.78777777777778
card_full,15885|545.0|185.0|visa|138.0|debit,7536,87317,10436654,0.03834925690021231,119.78399305555556
card_full,17188|321.0|150.0|visa|226.0|debit,7087,87650,10437855,0.029772823479610553,119.79403935185185
card_full,7919|194.0|150.0|mastercard|202.0|debit,6047,95442,6544970,0.008433934182239127,74.64731481481482
card_full,15066|170.0|150.0|mastercard|102.0|credit,5444,87899,10434463,0.040778839088905214,119.75189814814814
card_full,6019|583.0|150.0|visa|226.0|credit,5183,89169,10437093,0.040324136600424464,119.76763888888888
card_full,12695|490.0|150.0|visa|226.0|debit,4768,86529,10435904,0.022231543624161073,119.78443287037037
card_full,12544|321.0|150.0|visa|226.0|debit,4619,87285,10437010,0.020567222342498376,119.78848379629629
card_full,2803|100.0|150.0|visa|226.0|debit,4231,86535,10435138,0.012053887969747105,119.77549768518519
card_full,7919|194.0|150.0|mastercard|166.0|debit,4086,143536,10437939,0.008565834557023984,119.14818287037038
card_full,7585|553.0|150.0|visa|226.0|credit,3968,90946,10437228,0.05065524193548387,119.74863425925926
card_full,10616|583.0|150.0|visa|226.0|credit,3768,90178,10436613,0.03954352441613588,119.75040509259259
card_full,12839|321.0|150.0|visa|226.0|debit,3494,90608,10437466,0.017172295363480253,119.75530092592592
card_full,3154|408.0|185.0|mastercard|224.0|debit,3453,89600,10437885,0.05444540978858963,119.77181712962962
card_full,18132|567.0|150.0|mastercard|117.0|debit,2937,86499,10437175,0.013278855975485188,119.79949074074074
card_full,16075|514.0|150.0|mastercard|102.0|credit,2734,88725,10437494,0.04645208485735187,119.77741898148147
card_full,15497|490.0|150.0|visa|226.0|debit,2720,88394,10436697,0.011029411764705883,119.77202546296296
card_full,11207|361.0|150.0|visa|226.0|debit,2711,93843,10433352,0.011434894872740686,119.67024305555556
card_full,16132|111.0|150.0|visa|226.0|debit,2670,87275,10434430,0.019101123595505618,119.75873842592593
card_full,2884|490.0|150.0|visa|226.0|debit,2608,89663,10437443,0.011503067484662576,119.76597222222222
card_full,7508|321.0|150.0|visa|226.0|debit,2443,89466,10436677,0.02742529676627098,119.75938657407407
card_full,10112|360.0|150.0|visa|166.0|debit,2403,86821,10437974,0.007906783187682065,119.80501157407407
card_full,16659|170.0|150.0|visa|226.0|credit,2347,87532,10436728,0.020451640391989774,119.78236111111111
card_full,12501|490.0|150.0|visa|226.0|debit,2129,100189,10436663,0.023485204321277594,119.63511574074074
card_full,10057|225.0|150.0|mastercard|224.0|debit,2102,89916,10437829,0.051855375832540435,119.76751157407408
card_core_addr1,17188|321.0|150.0|226.0|299.0,4080,87650,10437855,0.02303921568627451,119.79403935185185
card_core_addr1,12695|490.0|150.0|226.0|325.0,3874,86529,10435904,0.02348993288590604,119.78443287037037
card_core_addr1,9500|321.0|150.0|226.0|204.0,3110,88258,10437667,0.024758842443729903,119.78482638888889
card_core_addr1,12839|321.0|150.0|226.0|264.0,2408,90608,10437466,0.01287375415282392,119.75530092592592
card_core_addr1,16132|111.0|150.0|226.0|299.0,2396,87275,10434430,0.018363939899833055,119.75873842592593
card_core_addr1,15497|490.0|150.0|226.0|299.0,2388,88394,10436697,0.012144053601340033,119.77202546296296
card_core_addr1,9500|321.0|150.0|226.0|272.0,1831,120874,10435503,0.02075368651010377,119.3822800925926
card_core_addr1,7664|490.0|150.0|226.0|264.0,1739,90014,10433957,0.03622771707878091,119.7215625
card_core_addr1,7207|111.0|150.0|226.0|204.0,1654,87856,10426027,0.012091898428053204,119.65475694444444
card_core_addr1,9112|250.0|150.0|226.0|441.0,1569,92174,10433087,0.017208413001912046,119.68649305555556
card_core_addr1,12544|321.0|150.0|226.0|441.0,1430,87285,10437010,0.011188811188811189,119.78848379629629
card_core_addr1,10023|111.0|150.0|226.0|325.0,1388,88997,10434032,0.010806916426512969,119.73420138888889
card_core_addr1,9500|321.0|150.0|226.0|330.0,1334,127935,10434525,0.05172413793103448,119.28923611111111
card_core_addr1,4806|490.0|150.0|226.0|315.0,1263,87149,10434649,0.013460015835312747,119.76273148148148
card_core_addr1,17399|111.0|150.0|224.0|204.0,1203,86536,10431570,0.00914380714879468,119.73418981481481
card_core_addr1,9500|321.0|150.0|226.0|126.0,1173,89969,10437922,0.005967604433077579,119.76797453703703
card_core_addr1,17131|111.0|150.0|224.0|264.0,1072,94329,10435618,0.010261194029850746,119.69084490740741
card_core_addr1,12501|490.0|150.0|226.0|204.0,1060,100189,10436663,0.0330188679245283,119.63511574074074
card_core_addr1,12544|321.0|150.0|226.0|337.0,975,90327,10433895,0.03282051282051282,119.71722222222222
card_core_addr1,17188|321.0|150.0|226.0|310.0,970,107214,10437254,0.007216494845360825,119.56064814814815
card_core_addr1,7815|161.0|150.0|117.0|123.0,942,104320,10426523,0.006369426751592357,119.46994212962963
card_core_addr1,15651|417.0|150.0|226.0|330.0,917,89095,10436010,0.006543075245365322,119.75596064814815
card_core_addr1,13249|111.0|150.0|226.0|264.0,906,87161,10437490,0.013245033112582781,119.79547453703704
card_core_addr1,12544|321.0|150.0|226.0|476.0,899,131717,10423360,0.04338153503893215,119.11623842592593
