column,missing_pct,unique_count,top_10_values
id_12,0.0,2,'NotFound':123025 | 'Found':21208
id_15,0.022519118370969194,3,'Found':67728 | 'New':61612 | 'Unknown':11645 | nan:3248
id_16,0.10325653629890524,2,'Found':66324 | 'NotFound':63016 | nan:14893
id_23,0.9641621542920136,3,nan:139064 | 'IP_PROXY:TRANSPARENT':3489 | 'IP_PROXY:ANONYMOUS':1071 | 'IP_PROXY:HIDDEN':609
id_27,0.9641621542920136,2,nan:139064 | 'Found':5155 | 'NotFound':14
id_28,0.02256765095366525,2,'Found':76232 | 'New':64746 | nan:3255
id_29,0.02256765095366525,2,'Found':74926 | 'NotFound':66052 | nan:3255
id_30,0.46222431759722116,75,nan:66668 | 'Windows 10':21155 | 'Windows 7':13110 | 'iOS 11.2.1':3722 | 'iOS 11.1.2':3699 | 'Android 7.0':2871 | 'Mac OS X 10_12_6':2559 | 'Mac OS X 10_11_6':2348 | 'iOS 11.3.0':2016 | 'Windows 8.1':1914
id_31,0.027393176318872933,130,'chrome 63.0':22000 | 'mobile safari 11.0':13423 | 'mobile safari generic':11474 | 'ie 11.0 for desktop':9030 | 'safari generic':8195 | 'chrome 62.0':7182 | 'chrome 65.0':6871 | 'chrome 64.0':6711 | 'chrome 63.0 for android':5806 | 'chrome generic':4778
id_33,0.4918707923984109,260,nan:70944 | '1920x1080':16874 | '1366x768':8605 | '1334x750':6447 | '2208x1242':4900 | '1440x900':4384 | '1600x900':3510 | '2048x1536':3482 | '1280x800':2149 | '2560x1600':2093
id_34,0.46056034333335644,4,nan:66428 | 'match_status:2':60011 | 'match_status:1':17376 | 'match_status:0':415 | 'match_status:-1':3
id_35,0.022519118370969194,2,'T':77814 | 'F':63171 | nan:3248
id_36,0.022519118370969194,2,'F':134066 | 'T':6919 | nan:3248
id_37,0.022519118370969194,2,'T':110452 | 'F':30533 | nan:3248
id_38,0.022519118370969194,2,'F':73922 | 'T':67063 | nan:3248
DeviceType,0.023732432938370553,2,'desktop':85165 | 'mobile':55645 | nan:3423
DeviceInfo,0.17726179168428863,1786,'Windows':47722 | nan:25567 | 'iOS Device':19782 | 'MacOS':12573 | 'Trident/7.0':7440 | 'rv:11.0':1901 | 'rv:57.0':962 | 'SM-J700M Build/MMB29K':549 | 'SM-G610M Build/MMB29K':461 | 'SM-G531H Build/LMY48B':410
