column,dtype,rows,non_null_count,missing_count,missing_pct,unique_count,unique_pct_non_null,is_all_missing,is_constant
TransactionID,int64,144233,144233,0,0.0,144233,1.0,False,False
id_01,float64,144233,144233,0,0.0,77,0.0005338584096565973,False,False
id_02,float64,144233,140872,3361,0.0233025729202055,115655,0.8209935260378216,False,False
id_03,float64,144233,66324,77909,0.5401607121809849,24,0.0003618599601954044,False,False
id_04,float64,144233,66324,77909,0.5401607121809849,15,0.00022616247512212772,False,False
id_05,float64,144233,136865,7368,0.05108400990064687,93,0.0006795016987542468,False,False
id_06,float64,144233,136865,7368,0.05108400990064687,101,0.0007379534577868702,False,False
id_07,float64,144233,5155,139078,0.9642592194574058,84,0.016294859359844812,False,False
id_08,float64,144233,5155,139078,0.9642592194574058,94,0.018234723569350145,False,False
id_09,float64,144233,74926,69307,0.4805211012736336,46,0.0006139390865654112,False,False
id_10,float64,144233,74926,69307,0.4805211012736336,62,0.0008274831166751195,False,False
id_11,float64,144233,140978,3255,0.02256765095366525,365,0.002589056448523883,False,False
id_12,object,144233,144233,0,0.0,2,1.3866452198872657e-05,False,False
id_13,float64,144233,127320,16913,0.11726165301976663,54,0.0004241281809613572,False,False
id_14,float64,144233,80044,64189,0.4450368500967185,25,0.00031232821947928637,False,False
id_15,object,144233,140985,3248,0.022519118370969194,3,2.127885945313331e-05,False,False
id_16,object,144233,129340,14893,0.10325653629890524,2,1.5463120457708367e-05,False,False
id_17,float64,144233,139369,4864,0.033723211747658306,104,0.0007462204650962553,False,False
id_18,float64,144233,45113,99120,0.6872213709761289,18,0.00039899807150932105,False,False
id_19,float64,144233,139318,4915,0.034076806278729554,522,0.003746823813146901,False,False
id_20,float64,144233,139261,4972,0.034472000166397426,394,0.0028292199538995123,False,False
id_21,float64,144233,5159,139074,0.9642314865530079,490,0.09497964721845319,False,False
id_22,float64,144233,5169,139064,0.9641621542920136,25,0.004836525440123815,False,False
id_23,object,144233,5169,139064,0.9641621542920136,3,0.0005803830528148578,False,False
id_24,float64,144233,4747,139486,0.9670879757059757,12,0.0025279123657046556,False,False
id_25,float64,144233,5132,139101,0.9644186836576928,341,0.06644583008573655,False,False
id_26,float64,144233,5163,139070,0.9642037536486102,95,0.018400154948673253,False,False
id_27,object,144233,5169,139064,0.9641621542920136,2,0.0003869220352099052,False,False
id_28,object,144233,140978,3255,0.02256765095366525,2,1.4186610676843196e-05,False,False
id_29,object,144233,140978,3255,0.02256765095366525,2,1.4186610676843196e-05,False,False
id_30,object,144233,77565,66668,0.46222431759722116,75,0.0009669309611293754,False,False
id_31,object,144233,140282,3951,0.027393176318872933,130,0.000926704780370967,False,False
id_32,float64,144233,77586,66647,0.462078719849133,4,5.155569303740365e-05,False,False
id_33,object,144233,73289,70944,0.4918707923984109,260,0.003547599230443859,False,False
id_34,object,144233,77805,66428,0.46056034333335644,4,5.14105777263672e-05,False,False
id_35,object,144233,140985,3248,0.022519118370969194,2,1.4185906302088875e-05,False,False
id_36,object,144233,140985,3248,0.022519118370969194,2,1.4185906302088875e-05,False,False
id_37,object,144233,140985,3248,0.022519118370969194,2,1.4185906302088875e-05,False,False
id_38,object,144233,140985,3248,0.022519118370969194,2,1.4185906302088875e-05,False,False
DeviceType,object,144233,140810,3423,0.023732432938370553,2,1.4203536680633478e-05,False,False
DeviceInfo,object,144233,118666,25567,0.17726179168428863,1786,0.015050646351945798,False,False
