column,dtype,rows,non_null_count,missing_count,missing_pct,unique_count,unique_pct_non_null,is_all_missing,is_constant
TransactionID,int64,590540,590540,0,0.0,590540,1.0,False,False
isFraud,int64,590540,590540,0,0.0,2,3.3867307887696006e-06,False,False
TransactionDT,int64,590540,590540,0,0.0,573349,0.9708893555051309,False,False
TransactionAmt,float64,590540,590540,0,0.0,20902,0.035394723473431096,False,False
ProductCD,object,590540,590540,0,0.0,5,8.466826971924002e-06,False,False
card1,int64,590540,590540,0,0.0,13553,0.0229501811900972,False,False
card2,float64,590540,581607,8933,0.015126833068039422,500,0.0008596870395301294,False,False
card3,float64,590540,588975,1565,0.0026501168422122124,114,0.0001935566025722654,False,False
card4,object,590540,588963,1577,0.00267043722694483,4,6.791598113973204e-06,False,False
card5,float64,590540,586281,4259,0.007212043214684865,119,0.00020297434165528135,False,False
card6,object,590540,588969,1571,0.0026602770345785214,4,6.791528925970637e-06,False,False
addr1,float64,590540,524834,65706,0.1112642666034477,332,0.0006325809684585984,False,False
addr2,float64,590540,524834,65706,0.1112642666034477,74,0.00014099696284920564,False,False
dist1,float64,590540,238269,352271,0.596523520845328,2651,0.011126080186679762,False,False
dist2,float64,590540,37627,552913,0.9362837403054831,1751,0.046535732319876684,False,False
P_emaildomain,object,590540,496084,94456,0.1599485216920107,59,0.00011893147128308915,False,False
R_emaildomain,object,590540,137291,453249,0.7675161716395164,60,0.0004370279188002127,False,False
C1,float64,590540,590540,0,0.0,1657,0.0028059064584956142,False,False
C2,float64,590540,590540,0,0.0,1216,0.002059132319571917,False,False
C3,float64,590540,590540,0,0.0,27,4.572086564838961e-05,False,False
C4,float64,590540,590540,0,0.0,1260,0.0021336403969248485,False,False
C5,float64,590540,590540,0,0.0,319,0.0005401835608087513,False,False
C6,float64,590540,590540,0,0.0,1328,0.0022487892437430147,False,False
C7,float64,590540,590540,0,0.0,1103,0.0018677820300064347,False,False
C8,float64,590540,590540,0,0.0,1253,0.002121786839164155,False,False
C9,float64,590540,590540,0,0.0,205,0.0003471399058488841,False,False
C10,float64,590540,590540,0,0.0,1231,0.002084532800487689,False,False
C11,float64,590540,590540,0,0.0,1476,0.0024994073221119655,False,False
C12,float64,590540,590540,0,0.0,1199,0.0020303451078673754,False,False
C13,float64,590540,590540,0,0.0,1597,0.002704304534832526,False,False
C14,float64,590540,590540,0,0.0,1108,0.0018762488569783588,False,False
D1,float64,590540,589271,1269,0.0021488806854743116,641,0.0010877847374128372,False,False
D2,float64,590540,309743,280797,0.4754919226470688,641,0.0020694575825765233,False,False
D3,float64,590540,327662,262878,0.44514850814508755,649,0.0019806996233923983,False,False
D4,float64,590540,421618,168922,0.2860466691502693,808,0.0019164267180243728,False,False
D5,float64,590540,280699,309841,0.524674027161581,688,0.002451024050673497,False,False
D6,float64,590540,73187,517353,0.8760676668811597,829,0.011327148264035962,False,False
D7,float64,590540,38917,551623,0.9340992989467267,597,0.01534033969730452,False,False
D8,float64,590540,74926,515614,0.8731229044603245,12353,0.1648693377465766,False,False
D9,float64,590540,74926,515614,0.8731229044603245,24,0.00032031604516456237,False,False
D10,float64,590540,514518,76022,0.1287330240119213,818,0.0015898374789608915,False,False
